prompt,model,response
base,gpt-4o,"The paper presents DRL-Sense, a novel framework for learning multi-sense word representations using reinforcement learning. The framework consists of two main modules: a sense selection module and a sense representation module. The authors claim that their approach achieves state-of-the-art performance on contextual word similarities and comparable performance with word2vec using significantly less training data.

### Strengths

1. **Novelty**: The paper introduces a novel application of reinforcement learning to the problem of multi-sense word representation, which is a fresh approach compared to traditional clustering and probabilistic methods.

2. **Modular Design**: The separation into a sense selection module and a sense representation module is a clear and logical design choice, allowing for focused improvements in each area.

3. **Efficiency**: The authors emphasize the linear time complexity of their sense selection process, which is a significant advantage over some existing methods that have higher computational costs.

4. **Non-parametric Learning**: The framework supports non-parametric learning, which allows for automatic determination of the number of senses for each word, adding flexibility and robustness.

5. **Experimental Results**: The paper claims state-of-the-art performance on contextual word similarity tasks and efficiency in terms of training data usage, which are strong empirical results if validated.

### Weaknesses

1. **Lack of Detail**: The paper lacks detailed explanations of the reinforcement learning process, including the specific algorithms used, the reward structure, and how the sense selection and representation modules interact during training.

2. **Experimental Validation**: While the paper claims state-of-the-art results, it does not provide sufficient experimental details, such as datasets used, evaluation metrics, and comparison with a comprehensive set of baselines.

3. **Theoretical Justification**: The paper could benefit from a more thorough theoretical justification of why reinforcement learning is particularly suited for this task, compared to other machine learning approaches.

4. **Clarity and Readability**: The paper contains some typographical errors and formatting issues (e.g., incomplete sentences and references), which detract from its readability and professionalism.

5. **Code Availability**: The authors mention that the code will be released after acceptance, but providing access to the code during the review process could help validate the claims and facilitate reproducibility.

### Suggestions for Improvement

1. **Expand on Methodology**: Provide a more detailed description of the reinforcement learning framework, including the specific algorithms, reward functions, and how the modules are trained together.

2. **Detailed Experiments**: Include a comprehensive"
human,human,"[UPDATE]
After going through the response from the author and the revision, I increased my review score for two reasons.
1. I thank the reviewers for further investigating the difference between yours and the other work (Scheduled sampling, Unsupervised learning using LSTM) and providing some insights about it.
This paper at least shows empirically that 100%-Pred scheme is better for high-dimensional video and for long-term predictions.
It would be good if the authors briefly discuss this in the final revision (either in the appendix or in the main text).

2. The revised paper contains more comprehensive results than before.
The presented result and discussion in this paper will be quite useful to the research community as high-dimensional video prediction involves large-scale experiments that are computationally expensive.

- Summary
This paper presents a new RNN architecture for action-conditional future prediction. The proposed architecture combines actions into the recurrent connection of the LSTM core, which performs better than the previous state-of-the-art architecture [Oh et al.]. The paper also explores and compares different architectures such as frame-dependent/independent mode and observation/prediction-dependent architectures. The experimental result shows that the proposed architecture with fully prediction-dependent training scheme achieves the state-of-the-art performance on several complex visual domains. It is also shown that the proposed prediction architecture can be used to improve exploration in a 3D environment.

- Novelty
The novelty of the proposed architecture is not strong. The difference between [Oh et al.] and this work is that actions are combined into the LSTM in this paper, while actions are combined after LSTM in [Oh et al.]. The jumpy prediction was already introduced by [Srivastava et al.] in the deep learning area. 

- Experiment
The experiments are well-designed and thorough. Specifically, the paper evaluates different training schemes and compares different architectures using several rich domains (Atari, 3D worlds). Besides, the proposed method achieves the state-of-the-art results on many domains and presents an application for model-based exploration.

- Clarity
The paper is well-written and easy to follow.

- Overall 
Although the proposed architecture is not much novel, it achieves promising results on Atari games and 3D environments. In addition, the systematic evaluation of different architectures presented in the paper would be useful to the community.

[Reference]
Nitish Srivastava, Elman Mansimov, Ruslan Salakhutdinov. Unsupervised Learning with LSTMs. ICML 2016."
human,human,"UPDATE: The authors addressed all my concerns in the new version of the paper, so I raised my score and now recommend acceptance.
--------------
This paper combines the recent progress in variational autoencoder and autoregressive density modeling in the proposed PixelVAE model. The paper shows that it can match the NLL performance of a PixelCNN with a PixelVAE that has a much shallower PixelCNN decoder.
I think the idea of capturing the global structure with a VAE and modeling the local structure with a PixelCNN decoder makes a lot of sense and can prevent the blurry reconstruction/samples of VAE. I specially like the hierarchical image generation experiments.

I have the following suggestions/concerns about the paper:

1) Is there any experiment showing that using the PixelCNN as the decoder of VAE will result in better disentangling of high-level factors of variations in the hidden code? For example, the authors can train a PixelVAE and VAE on MNIST with 2D hidden code and visualize the 2D hidden code for test images and color code each hidden code based on the digit and show that the digits have a better separation in the PixelVAE representation. A semi-supervised classification comparison between VAE and the PixelVAE will also significantly improve the quality of the paper.

2) A similar idea is also presented in a concurrent ICLR submission ""Variational Lossy Autoencoder"". It would be interesting to have a discussion included in the paper and compare these works.

3) The answer to the pre-review questions made the architecture details of the paper much more clear, but I still ask the authors to include the exact architecture details of all the experiments in the paper and/or open source the code. The clarity of the presentation is not satisfying and the experiments are difficult to reproduce.

4) As pointed out in my pre-review question, it would be great to include two sets of MNIST samples maybe in an appendix section. One with PixelCNN and the other with PixelVAE with the same pixelcnn depth to illustrate the hidden code in PixelVAE actually captures the global structure.

I will gladly raise the score if the authors address my concerns."
base,llama-3,"1 INTRODUCTION
The paper introduces a modified version of the PixelCNN model, which is a generative model of images with a tractable likelihood. The authors claim that their modifications improve the performance of the original PixelCNN model, but the introduction does not provide a clear overview of the original model or its limitations. The authors also do not provide a clear motivation for their modifications, which makes it difficult to understand the significance of their contributions.

Strengths: The paper provides a detailed description of the modifications made to the PixelCNN model, which is useful for readers who are familiar with the original model. The authors also provide experimental results that demonstrate the effectiveness of their modifications.

Weaknesses: The paper lacks a clear introduction that provides an overview of the original PixelCNN model and its limitations. The authors do not provide a clear motivation for their modifications, which makes it difficult to understand the significance of their contributions. The paper also lacks a clear comparison with other state-of-the-art models, which makes it difficult to evaluate the performance of the modified PixelCNN model.

Suggestions for improvement: The authors should provide a clear introduction that provides an overview of the original PixelCNN model and its limitations. They should also provide a clear motivation for their modifications and explain why they are necessary. The authors should also provide a clear comparison with other state-of-the-art models to evaluate the performance of the modified PixelCNN model.

2 MODIFICATIONS TO PIXELCNN
The authors describe several modifications made to the PixelCNN model, including the use of a discretized logistic mixture likelihood, conditioning on whole pixels, and downsampling instead of dilated convolutions. The authors claim that these modifications improve the performance of the original PixelCNN model, but the description of the modifications is not clear and lacks mathematical details.

Strengths: The authors provide a detailed description of the modifications made to the PixelCNN model, which is useful for readers who are familiar with the original model. The authors also provide experimental results that demonstrate the effectiveness of their modifications.

Weaknesses: The description of the modifications is not clear and lacks mathematical details. The authors do not provide a clear explanation of why these modifications are necessary or how they improve the performance of the original PixelCNN model.

Suggestions for improvement: The authors should provide a clear and detailed description of the modifications made to the PixelCNN model, including mathematical details. They should also provide a clear explanation of why these modifications are necessary and how they improve the performance of the original PixelCNN model.

3 EXPERIMENTS
The authors provide experimental results that demonstrate the effectiveness"
base,llama-3,"2.5/5.0

The paper presents a novel model called Submodular Sum-Product Networks (SSPNs) that combines the expressive power of Sum-Product Networks (SPNs) with the tractable segmentation properties of submodular energies. The authors propose an efficient approximate inference algorithm, INFERSSPN, for computing the MAP state of the SSPN, which is an iterative move-making-style algorithm that provably converges to a local minimum of the energy.

Strengths:

1. The paper presents a novel and interesting model that combines the strengths of SPNs and submodular energies.
2. The authors provide a clear and concise explanation of the SSPN model and its properties.
3. The proposed inference algorithm, INFERSSPN, is efficient and provably converges to a local minimum of the energy.

Weaknesses:

1. The paper assumes a strong background in probabilistic graphical models and SPNs, which may not be familiar to all readers.
2. The authors do not provide a detailed comparison with other state-of-the-art models for scene understanding, which makes it difficult to evaluate the performance of SSPNs.
3. The paper does not provide a clear explanation of how the submodularity of the energy function is used to improve the inference algorithm.

Suggestions for improvement:

1. Provide a more detailed introduction to SPNs and submodular energies for readers who may not be familiar with these concepts.
2. Compare the performance of SSPNs with other state-of-the-art models for scene understanding, such as hierarchical random fields and neural parsing methods.
3. Provide a more detailed explanation of how the submodularity of the energy function is used to improve the inference algorithm, including a discussion of the computational complexity of the algorithm.
4. Consider providing more experimental results to evaluate the performance of SSPNs on different datasets and tasks.
5. Consider providing a more detailed analysis of the limitations of SSPNs and potential future directions for research.

Overall, the paper presents an interesting and novel model that combines the strengths of SPNs and submodular energies. However, the paper could benefit from a more detailed introduction, comparison with other state-of-the-art models, and explanation of the submodularity of the energy function. Additionally, providing more experimental results and a more detailed analysis of the limitations of SSPNs would strengthen the paper. 2.5/5.0."
base,gpt-4o,"### Review of the Paper

#### Strengths

1. **Comprehensive Introduction and Contextualization**: The paper provides a thorough introduction to the field of recurrent neural networks (RNNs), highlighting their significance and the challenges associated with their training. It effectively sets the stage for the research question by discussing the popularity and utility of gated architectures like LSTMs and GRUs.

2. **Clear Research Focus**: The paper aims to investigate the reasons behind the superior performance of gated RNN models compared to vanilla RNNs, focusing on trainability rather than computational power. This is a relevant and timely research question given the widespread use of these models.

3. **Detailed Experimental Setup**: The authors describe a robust experimental setup, including hyperparameter optimization using a Gaussian Process model. This approach ensures that the models are well-tuned, which adds credibility to the findings.

4. **Novel Contributions**: The introduction of two new RNN architectures, the Update Gate RNN (UGRNN) and the Intersection RNN (+RNN), adds novelty to the paper. These architectures are designed to explore the impact of gating mechanisms on RNN performance.

5. **Extensive Computational Effort**: The paper reports a significant computational effort, with CPU-millennia worth of computation, which underscores the thoroughness of the experimental evaluation.

#### Weaknesses

1. **Lack of Theoretical Insights**: While the paper provides empirical evidence, it lacks a strong theoretical foundation to explain why gated architectures are more trainable. A deeper theoretical analysis could enhance the understanding of the observed phenomena.

2. **Limited Discussion on Practical Implications**: The paper could benefit from a more detailed discussion on the practical implications of the findings. For instance, how should practitioners choose between different RNN architectures based on the results?

3. **Clarity and Organization**: The paper's organization could be improved. Some sections, such as the introduction of new architectures, are not clearly delineated, making it difficult for readers to follow the flow of ideas.

4. **Insufficient Exploration of Capacity Bottlenecks**: While the paper mentions capacity bottlenecks, it does not delve deeply into how these bottlenecks manifest in real-world tasks. More detailed experiments or case studies could provide valuable insights.

5. **Missing Results and Analysis**: The paper does not provide detailed results or analysis of the experiments. Including specific findings, such as performance metrics or visualizations, would strengthen the paper's conclusions.

#### Suggestions for Improvement

1."
base,gpt-4o,"### Review of the Paper

#### Strengths

1. **Comprehensive Introduction and Contextualization**: The paper provides a thorough introduction to the field of recurrent neural networks (RNNs), highlighting their significance and the challenges associated with their training. It effectively sets the stage for the research by discussing the importance of gated architectures like LSTMs and GRUs.

2. **Clear Research Focus**: The paper aims to investigate the reasons behind the superior performance of gated RNN models compared to vanilla RNNs, focusing on trainability rather than computational power. This is a relevant and timely research question given the widespread use of these models.

3. **Detailed Experimental Setup**: The authors describe a robust experimental setup, including the use of a hyperparameter tuner and a variety of RNN architectures and tasks. This thorough approach is commendable and suggests that the results are well-founded.

4. **Novel Contributions**: The introduction of two new RNN architectures, the Update Gate RNN (UGRNN) and the Intersection RNN (+RNN), adds value to the paper. These innovations could potentially offer new insights into RNN design and performance.

5. **Extensive Computational Effort**: The paper reports a significant computational effort, with CPU-millennia worth of computation, which underscores the depth and rigor of the experimental work.

#### Weaknesses

1. **Lack of Theoretical Insights**: While the paper provides empirical evidence, it lacks a strong theoretical framework to explain why gated architectures are more trainable. A deeper theoretical analysis could enhance the understanding of the observed phenomena.

2. **Limited Discussion on Practical Implications**: The paper could benefit from a more detailed discussion on the practical implications of the findings. For instance, how can practitioners leverage these insights to improve RNN training in real-world applications?

3. **Clarity and Organization**: The paper could be better organized, particularly in the experimental results section. The flow of information is somewhat disjointed, making it difficult for readers to follow the narrative and understand the key takeaways.

4. **Insufficient Exploration of Novel Architectures**: While the paper introduces new RNN architectures, it does not provide a comprehensive evaluation of their performance compared to existing models. More detailed results and analysis of these architectures would strengthen the contribution.

5. **Overemphasis on Hyperparameter Tuning**: Although hyperparameter tuning is crucial, the paper places a heavy emphasis on this aspect, potentially overshadowing other important factors that contribute to RNN performance.

"
base,gpt-4o,"The paper presents a novel approach to learning representations in deep neural networks using an information-theoretic framework, specifically the Information Bottleneck (IB) principle. The authors propose a variational inference method to approximate the IB objective, which they call the Variational Information Bottleneck (VIB). This approach aims to create representations that are maximally informative about the target variable while being minimally informative about the input data, thus balancing expressiveness and compression.

### Strengths

1. **Innovative Approach**: The paper introduces a novel method, VIB, which leverages variational inference to approximate the IB objective. This is a significant contribution as it allows the application of the IB principle to deep neural networks, which was previously computationally challenging.

2. **Theoretical Foundation**: The paper is grounded in solid theoretical concepts from information theory, such as mutual information and the data processing inequality. The use of the IB principle provides a clear and principled framework for defining what constitutes a good representation.

3. **Practical Implementation**: By using the reparameterization trick and Monte Carlo sampling, the authors make the VIB method practical for optimization using stochastic gradient descent. This is crucial for handling high-dimensional, continuous data, such as images.

4. **Robustness to Overfitting and Adversarial Inputs**: The paper claims that models trained with VIB are more robust to overfitting and adversarial inputs compared to deterministic models. This is an important advantage in real-world applications where data can be noisy or manipulated.

5. **Comparison with Related Work**: The paper provides a comprehensive review of related work, situating the VIB method within the broader context of information-theoretic approaches to deep learning. This helps clarify the novelty and advantages of the proposed method.

### Weaknesses

1. **Lack of Experimental Results**: While the paper mentions a series of experiments, it does not provide detailed results or comparisons with other methods. This makes it difficult to assess the empirical performance and practical benefits of the VIB method.

2. **Complexity and Scalability**: The paper does not discuss the computational complexity or scalability of the VIB method in detail. It would be helpful to understand how the method performs on large-scale datasets and whether it introduces significant computational overhead.

3. **Clarity and Accessibility**: The paper is dense with theoretical concepts, which might be challenging for readers not familiar with information theory. More intuitive explanations and visualizations could help make the content more accessible.

4. **Assum"
base,gpt-4o,"### Review of the Paper

#### Strengths

1. **Innovative Approach**: The paper introduces a novel approach by implementing a differentiable physics engine with analytical gradients. This is a significant advancement over traditional methods that rely on derivative-free optimization, which can be slow and inefficient, especially for systems with a large number of parameters.

2. **Use of Modern Tools**: The integration of automatic differentiation libraries like Theano to derive gradients is a strong point. This approach leverages modern computational tools to simplify the differentiation process, which is often complex and error-prone when done manually.

3. **Practical Application**: The paper provides a practical application of the proposed method by optimizing a neural network controller for a robot. This demonstrates the real-world applicability and potential impact of the research.

4. **Comparative Analysis**: The comparison between gradient-based optimization and CMA-ES (a derivative-free method) in the ""Throwing a Ball"" experiment is well-executed. It provides clear evidence of the efficiency gains achieved through the proposed method.

5. **Clear Explanation of Methodology**: The paper does a good job of explaining the methodology, particularly the use of backpropagation through time (BPTT) for optimizing parameters over a simulation.

#### Weaknesses

1. **Limited Scope of Implementation**: The implementation is restricted to a specific set of operations due to the limitations of Theano, particularly the lack of support for conditionals on GPU. This limits the generalizability of the approach to more complex systems.

2. **Simplified Physics Model**: The use of spheres for collision detection, while necessary due to implementation constraints, is a significant simplification. This could limit the applicability of the engine to more complex and realistic scenarios.

3. **Lack of Detailed Evaluation**: While the paper provides some evaluation, it lacks a comprehensive analysis of the performance across a wider range of tasks and conditions. More experiments would strengthen the claims about the general applicability and efficiency of the method.

4. **Assumptions and Limitations**: The paper does not sufficiently discuss the assumptions and limitations of the proposed approach. For instance, the impact of using rotation matrices instead of quaternions is not fully explored.

5. **Clarity and Structure**: The paper could benefit from clearer structuring and more detailed explanations in some sections. For example, the transition from the introduction to the technical details of the physics engine could be smoother.

#### Suggestions for Improvement

1. **Expand the Range of Experiments**:"
base,gpt-4o,"The paper presents an intriguing exploration of universality in optimization algorithms, focusing on the halting time of iterative methods across different problem domains. The authors investigate the universality phenomenon in the context of random fields, particularly in non-convex optimization landscapes, and provide examples from spin glasses, deep learning, and human decision times. The paper's strengths, weaknesses, and suggestions for improvement are outlined below.

### Strengths

1. **Novelty and Scope**: The paper addresses a novel and broad topic by exploring the concept of universality in optimization algorithms. It connects diverse fields such as statistical mechanics, deep learning, and human cognition, which is both ambitious and innovative.

2. **Interdisciplinary Approach**: By drawing parallels between optimization problems in spin glasses, deep learning, and human decision-making, the paper provides a unique interdisciplinary perspective that could inspire further research across these domains.

3. **Clear Definition and Explanation**: The paper provides a clear definition of universality in the context of optimization algorithms, which helps in understanding the scope and implications of the study. The explanation of the halting time and its significance in non-convex landscapes is well-articulated.

4. **Examples and Case Studies**: The inclusion of specific examples, such as the QR algorithm and its universality across different ensembles, helps to concretize the abstract concept of universality and provides a practical demonstration of the theory.

### Weaknesses

1. **Lack of Experimental Validation**: While the paper discusses the theoretical aspects of universality, it lacks empirical validation through experiments or simulations. The claims about universality in different algorithms would be more convincing with supporting data.

2. **Limited Discussion on Limitations**: The paper briefly mentions a degenerate case where universality fails but does not delve deeply into the limitations or conditions under which universality might not hold. A more thorough discussion on this aspect would provide a balanced view.

3. **Complexity and Accessibility**: The paper assumes a high level of familiarity with advanced mathematical concepts and optimization algorithms, which might limit its accessibility to a broader audience. Simplifying some explanations or providing additional background could help.

4. **Insufficient Detail on Human Decision Times and Google Queries**: The mention of human decision times and Google query times as examples of universality is intriguing but lacks detail. More information on how these examples were studied and the results obtained would strengthen the argument.

### Suggestions for Improvement

1. **Incorporate Empirical Results**: To strengthen the claims of universality, the"
base,llama-3,"1 INTRODUCTION
The introduction provides a clear overview of the paper's goals and motivations. It effectively sets the stage for the rest of the paper by highlighting the importance of endowing an agent with a program for physical reasoning and the challenges associated with achieving this goal. The references provided are relevant and help to establish the paper's context.

Strengths: Clear introduction, relevant references

Weaknesses: None

Suggestions for improvement: None

2 A HYBRID DESIGN
The hybrid design section provides a good overview of the different approaches that have been taken to build a program for physical reasoning. The authors effectively highlight the strengths and weaknesses of each approach and provide a clear justification for their own hybrid approach.

Strengths: Clear overview of different approaches, effective justification for hybrid approach

Weaknesses: None

Suggestions for improvement: None

3 A STEP TOWARDS EMULATING A GENERAL-PURPOSE PHYSICS ENGINE
The section on a step towards emulating a general-purpose physics engine provides a clear explanation of the authors' goals and motivations. However, the section could be improved by providing more detail on how the authors' approach differs from previous work and what specific challenges they are trying to address.

Strengths: Clear explanation of goals and motivations

Weaknesses: Lack of detail on how the authors' approach differs from previous work

Suggestions for improvement: Provide more detail on how the authors' approach differs from previous work and what specific challenges they are trying to address.

4 APPROACH
The approach section provides a detailed description of the Neural Physics Engine (NPE) and its components. The authors effectively explain the different ingredients of the NPE and how they are combined to form a neural network-based physics simulator.

Strengths: Detailed description of the NPE and its components

Weaknesses: None

Suggestions for improvement: None

5 EXPERIMENTS
The experiments section provides a clear description of the experiments conducted to evaluate the NPE. The authors effectively present the results of their experiments and provide a clear analysis of the results.

Strengths: Clear description of experiments, effective presentation of results

Weaknesses: None

Suggestions for improvement: None

6 CONCLUSION
The conclusion provides a clear summary of the paper's main contributions and the authors' future work. The authors effectively highlight the strengths of their approach and provide a clear direction for future research.

Strengths: Clear summary of main contributions, effective direction for future research

Weaknesses: None

Suggestions for improvement: None

Overall, the paper provides a clear and"
base,llama-3,"1 RELATED WORK
The introduction to the paper is well-written and provides a clear overview of the related work in the field of computer vision. The authors have done a good job of summarizing the key concepts and techniques in the field, and have provided a clear explanation of how their work builds upon and differs from previous research.

Strengths:

* The paper provides a clear and concise overview of the related work in the field of computer vision.
* The authors have done a good job of summarizing the key concepts and techniques in the field, and have provided a clear explanation of how their work builds upon and differs from previous research.

Weaknesses:

* The paper could benefit from a more detailed explanation of the specific challenges and limitations of the current state-of-the-art methods in the field.
* The authors could provide more examples and illustrations to help illustrate the concepts and techniques being discussed.

Suggestions for improvement:

* Provide a more detailed explanation of the specific challenges and limitations of the current state-of-the-art methods in the field.
* Provide more examples and illustrations to help illustrate the concepts and techniques being discussed.
* Consider adding a section on the potential applications and future directions of the research.

2 MODEL
The model proposed in the paper is well-defined and easy to understand. The authors have done a good job of explaining the different components of the model and how they interact with each other.

Strengths:

* The model is well-defined and easy to understand.
* The authors have done a good job of explaining the different components of the model and how they interact with each other.

Weaknesses:

* The paper could benefit from a more detailed explanation of the specific design choices made in the model, and how they were motivated by the authors' understanding of the problem.
* The authors could provide more examples and illustrations to help illustrate the different components of the model and how they interact with each other.

Suggestions for improvement:

* Provide a more detailed explanation of the specific design choices made in the model, and how they were motivated by the authors' understanding of the problem.
* Provide more examples and illustrations to help illustrate the different components of the model and how they interact with each other.
* Consider adding a section on the potential applications and future directions of the research.

3 EXPERIMENTS
The experiments section of the paper is well-written and provides a clear overview of the results obtained by the authors. The authors have done a good job of explaining the different experiments and how they were designed and conducted.

Strengths:

* The experiments section is well-written and provides a"
base,gpt-4o,"**Review of the Paper:**

**Title:** Introduction of NewsQA: A New Dataset for Machine Comprehension

**Strengths:**

1. **Novel Dataset Introduction:** The paper introduces NewsQA, a new large-scale dataset for machine comprehension, which addresses some of the limitations of existing datasets. This is a significant contribution to the field as it provides a new resource for training and evaluating machine comprehension models.

2. **Comprehensive Dataset Characteristics:** NewsQA is designed with several challenging features, such as answers being spans of arbitrary length, the presence of questions with no answers, and the absence of candidate answers. These characteristics make the dataset more reflective of real-world scenarios and push the boundaries of current machine comprehension models.

3. **Detailed Methodology:** The paper provides a clear and detailed description of the dataset collection methodology, including the four-stage process of article curation, question sourcing, answer sourcing, and validation. This transparency is valuable for reproducibility and for other researchers who may want to build upon this work.

4. **Comparison with Existing Datasets:** The paper effectively positions NewsQA within the landscape of existing datasets, highlighting its unique contributions and the specific gaps it aims to fill. This contextualization helps readers understand the importance and potential impact of NewsQA.

5. **Human vs. Machine Performance:** The paper includes an evaluation of human performance versus machine performance on the NewsQA dataset, demonstrating the current gap and the challenge posed by the dataset. This is crucial for setting benchmarks and motivating further research.

**Weaknesses:**

1. **Limited Baseline Models:** The paper mentions the use of two strong neural-network baselines but does not provide detailed information about these models or their architectures. More information on the baselines would help in understanding the specific challenges posed by the dataset.

2. **Lack of Error Analysis:** While the paper provides performance metrics, it lacks a detailed error analysis that could offer insights into the specific types of questions or reasoning that current models struggle with. This analysis could guide future improvements in model design.

3. **Insufficient Discussion on Dataset Bias:** The paper does not address potential biases in the dataset, such as those introduced by the choice of news articles or the crowdworkers' backgrounds. Understanding these biases is important for interpreting model performance and generalizability.

4. **Scalability and Practicality Concerns:** The paper does not discuss the scalability of the dataset collection process or its practicality for other researchers who might want to replicate or extend the dataset. This could be a limitation for widespread adoption.

"
human,human,"- Strengths:
Clear description of methods and evaluation
Successfully employs and interprets a variety of evaluations
Solid demonstration of practicality of technique in real-world interactive
topic modeling

- Weaknesses:
Missing related work on anchor words
Evaluation on 20 Newsgroups is not ideal
Theoretical contribution itself is small 

- General Discussion:
The authors propose a new method of interactive user specification of topics
called Tandem Anchors. The approach leverages the anchor words algorithm, a
matrix-factorization approach to learning topic models, by replacing the
individual anchors inferred from the Gram-Schmidt algorithm with constructed
anchor pseudowords created by combining the sparse vector representations of
multiple words that for a topic facet. The authors determine that the use of a
harmonic mean function to construct pseudowords is optimal by demonstrating
that classification accuracy of document-topic distribution vectors using these
anchors produces the most improvement over Gram-Schmidt. They also demonstrate
that their work is faster than existing interactive methods, allowing
interactive iteration, and show in a user study that the multiword anchors are
easier and more effective for users.

Generally, I like this contribution a lot: it is a straightforward modification
of an existing algorithm that actually produces a sizable benefit in an
interactive setting. I appreciated the authors’ efforts to evaluate their
method on a variety of scales. While I think the technical contribution in
itself is relatively small (a strategy to assemble pseudowords based on topic
facets) the thoroughness of the evaluation merited having it be a full paper
instead of a short paper. It would have been nice to see more ideas as to how
to build these facets in the absence of convenient sources like category titles
in 20 Newsgroups or when initializing a topic model for interactive learning.

One frustration I had with this paper is that I find evaluation on 20
Newsgroups to not be great for topic modeling: the documents are widely
different lengths, preprocessing matters a lot, users have trouble making sense
of many of the messages, and naive bag-of-words models beat topic models by a
substantial margin. Classification tasks are useful shorthand for how well a
topic model corresponds to meaningful distinctions in the text by topic; a task
like classifying news articles by section or reviews by the class of the
subject of the review might be more appropriate. It would also have been nice
to see a use case that better appealed to a common expressed application of
topic models, which is the exploration of a corpus.

There were a number of comparisons I think were missing, as the paper contains
little reference to work since the original proposal of the anchor word model.
In addition to comparing against standard Gram-Schmidt, it would have been good
to see the method from Lee et. al. (2014), “Low-dimensional Embeddings for
Interpretable Anchor-based Topic Inference”. I also would have liked to have
seen references to Nguyen et. al. (2013), “Evaluating Regularized Anchor
Words” and Nguyen et. al. (2015) “Is Your Anchor Going Up or Down? Fast and
Accurate Supervised Topic Models”, both of which provide useful insights into
the anchor selection process.

I had some smaller notes:
- 164: …entire dataset
- 164-166: I’m not quite sure what you mean here. I think you are claiming
that it takes too long to do one pass? My assumption would have been you would
use only a subset of the data to retrain the model instead of a full sweep, so
it would be good to clarify what you mean.
- 261&272: any reason you did not consider the and operator or element-wise
max? They seem to correspond to the ideas of union and intersection from the or
operator and element-wise min, and it wasn’t clear to me why the ones you
chose were better options.
- 337: Usenet should be capitalized
- 338-340: Why fewer than 100 (as that is a pretty aggressive boundary)? Also,
did you remove headers, footers, and/or quotes from the messages?
- 436-440: I would have liked to see a bit more explanation of what this tells
us about confusion.
- 692: using tandem anchors

Overall, I think this paper is a meaningful contribution to interactive topic
modeling that I would like to see available for people outside the machine
learning community to investigate, classify, and test hypotheses about their
corpora.

POST-RESPONSE: I appreciate the thoughtful responses of the authors to my
questions. I would maintain that for some of the complimentary related work
that it's useful to compare to non-interactive work, even if it does something
different."
